FIPS,expected population,net migrants,migration rate
20007,5081,-248,15.599999999999993
20009,28620,-954,-33.3
20011,15546,-423,-45.1
20013,10742,-768,-83.8
20015,61742,4010,104.2
20017,3033,-260,-128.29999999999998
20019,4006,-353,-74.80000000000003
20021,22517,-969,-57.0
20023,2966,-258,-79.19999999999997
20025,2318,-120,2.400000000000009
20027,8616,-121,-5.899999999999999
20029,9806,-320,-23.7
20031,8731,-176,-30.499999999999996
20033,1785,87,109.2
20035,36697,-396,-17.3
20037,38886,181,47.79999999999999
20039,3125,-189,-61.39999999999999
20041,19057,637,81.20000000000002
20043,8207,-294,-15.100000000000005
20045,106577,4233,224.4
20047,3413,-382,-106.09999999999998
20049,3021,-162,-26.3
20051,28582,-188,53.39999999999999
20053,6110,376,127.6
20055,46912,-9752,-254.0
20057,36961,-2696,-88.89999999999998
20059,25861,64,4.699999999999998
20061,32418,2181,120.60000000000002
20063,2960,-281,-104.5
20065,2755,-179,-28.800000000000004
20067,8850,-952,-121.89999999999998
20069,6289,-284,-50.19999999999999
20071,1521,-281,-263.0
20073,7252,-593,-100.40000000000002
20075,2791,-91,17.0
20077,6141,-133,-16.100000000000005
20079,33633,1022,18.1
20081,4710,-441,-102.1
20083,2037,-136,-2.6000000000000005
20085,13044,396,62.80000000000001
20087,18734,307,53.39999999999999
20089,3494,-434,-125.4
20091,496264,47720,151.3
20093,4829,-841,-219.3
20095,8430,-608,-71.09999999999998
20097,3235,-690,-191.2
20099,22633,-1057,-63.99999999999999
20101,2021,-279,-117.9
20103,72972,3390,86.4
20105,3376,-156,-12.300000000000017
20107,9514,99,23.2
20109,2913,-174,-51.2
20111,38299,-4524,-129.29999999999998
20113,29364,-274,-44.8
20115,12773,-173,-18.700000000000014
20117,10738,-665,-33.1
20119,4753,-184,-46.2
20121,29656,3025,157.9
20123,6572,-238,-32.2
20125,36249,-798,-25.399999999999995
20127,5845,40,22.9
